GHGRP ID,Observation Date,Average Landfill Point Source Emission (kg/h),Average Landfill Point Source Emission Uncertainty (kg/h),Average Emission Rate over all overpasses (kg/h),Average Uncertainty Rate over all overpasses (kg/h),Average reported GHGRP emissions (METRIC TONS CO2e),Number of days landfill was flown,Number of days where point sources were detected ,Latitude of Plume Origin,Longitude of Plume Origin,Plume Candidate ID (UTC time of detection),Instantaneous Emission Rate (kg/h),Instantaneous Emission Rate Uncertainty (kg/h)
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171003t224906-D,667.0,346.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75375,-121.65547,ang20171003t224906-G,219.0,46.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.7524,-121.65544,ang20171003t224906-H,219.0,46.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.74821,-121.65916,ang20171003t224906-I,154.0,24.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75517,-121.65536,ang20171006t184157-G,29.0,19.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75462,-121.65456,ang20171006t184157-H,32.0,23.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75703,-121.65263,ang20171006t184157-I,69.0,18.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75744,-121.64973,ang20171006t184157-J,127.0,26.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75704,-121.64866,ang20171006t184157-K,105.0,21.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75448,-121.65651,ang20171006t184157-M,39.0,29.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75436,-121.6572,ang20171006t184157-N,92.0,36.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t184157-O,131.0,23.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t184753-B,95.0,22.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75668,-121.65688,ang20171006t184753-C,95.0,22.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75556,-121.65523,ang20171006t184753-D,106.0,36.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75395,-121.65477,ang20171006t184753-E,16.0,7.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75307,-121.65464,ang20171006t184753-G,29.0,16.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75474,-121.65009,ang20171006t185335-M,44.0,18.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t185335-S,171.0,116.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75744,-121.64973,ang20171006t185335-T,177.0,39.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t185859-A,58.0,15.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75668,-121.65688,ang20171006t185859-B,58.0,15.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75556,-121.65523,ang20171006t185859-C,138.0,72.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75285,-121.65606,ang20171006t185859-D,303.0,222.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75408,-121.65636,ang20171006t185859-E,110.0,21.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75436,-121.6572,ang20171006t185859-F,197.0,36.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75304,-121.6482,ang20171006t185859-H,712.0,380.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75696,-121.65262,ang20171006t185859-I,138.0,72.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75744,-121.64973,ang20171006t185859-J,635.0,339.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75704,-121.64866,ang20171006t185859-K,635.0,339.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75448,-121.65651,ang20171006t185859-L,304.0,222.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75252,-121.65626,ang20171006t185859-M,303.0,222.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75344,-121.65533,ang20171006t185859-N,337.0,70.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75696,-121.65262,ang20171006t190448-F,73.0,33.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75744,-121.64973,ang20171006t190448-G,145.0,56.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75704,-121.64866,ang20171006t190448-H,83.0,12.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75448,-121.65651,ang20171006t190448-J,48.0,23.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t190448-K,104.0,21.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75556,-121.65523,ang20171006t190448-L,87.0,13.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75448,-121.65651,ang20171006t191011-A,100.0,32.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t191011-B,80.0,27.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75668,-121.65688,ang20171006t191011-C,80.0,27.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75556,-121.65523,ang20171006t191011-D,58.0,33.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75285,-121.65606,ang20171006t191011-E,100.0,32.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75408,-121.65636,ang20171006t191011-F,100.0,32.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75286,-121.65666,ang20171006t191011-H,100.0,32.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75252,-121.65626,ang20171006t191011-K,100.0,32.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75344,-121.65533,ang20171006t191011-L,128.0,47.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75696,-121.65262,ang20171006t191011-N,58.0,33.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.75279,-121.655627,ang20180920t180956-D,57.0,11.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.756834,-121.648462,ang20180920t180956-E,209.0,68.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.750391,-121.657948,ang20180920t182324-E,281.0,71.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.753244,-121.65473,ang20180920t183722-A,27.0,9.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.750318,-121.657252,ang20180920t183722-C,298.0,80.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.756834,-121.648462,ang20180920t183722-F,163.0,34.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.756592,-121.648265,ang20181009t215128-A,81.0,39.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.756592,-121.648265,ang20181009t215749-A,160.0,76.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.755134,-121.65895,GAO20201115t201750p0000-A,775.0,320.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.757233,-121.65948,GAO20201115t201750p0000-1,364.0,274.0
1007699,10/3/2017,413.0,119.0,358.0,147.0,165082.0,11.0,8.0,37.751353,-121.65539,GAO20211107t193924p0000-A,552.0,171.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75285,-121.65606,ang20170618t182621-C,164.0,103.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75287,-121.65538,ang20170618t182621-D,222.0,120.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75307,-121.65464,ang20170618t182621-E,205.0,111.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75178,-121.65484,ang20170618t182621-F,328.0,48.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75684,-121.65607,ang20170618t182621-H,579.0,92.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75598,-121.65379,ang20170618t182621-I,251.0,54.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.74877,-121.65478,ang20170618t183142-A,171.0,143.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.7524,-121.65544,ang20170618t183142-B,372.0,117.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75304,-121.6482,ang20170618t183142-E,277.0,113.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75306,-121.65043,ang20170618t183142-F,277.0,113.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.7492,-121.65015,ang20170618t183142-G,45.0,25.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.74851,-121.65313,ang20170618t183142-H,50.0,28.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75598,-121.65379,ang20170620t194520-L,324.0,133.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75462,-121.65456,ang20170620t194520-N,103.0,37.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75517,-121.65536,ang20170620t194520-O,98.0,46.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75436,-121.6572,ang20171003t224906-A,77.0,35.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75359,-121.65752,ang20171003t224906-B,150.0,48.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75567,-121.65272,ang20171003t224906-C,219.0,46.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171003t224906-D,667.0,346.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75375,-121.65547,ang20171003t224906-G,219.0,46.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.7524,-121.65544,ang20171003t224906-H,219.0,46.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.74821,-121.65916,ang20171003t224906-I,154.0,24.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75517,-121.65536,ang20171006t184157-G,29.0,19.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75462,-121.65456,ang20171006t184157-H,32.0,23.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75703,-121.65263,ang20171006t184157-I,69.0,18.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75744,-121.64973,ang20171006t184157-J,127.0,26.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75704,-121.64866,ang20171006t184157-K,105.0,21.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75448,-121.65651,ang20171006t184157-M,39.0,29.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75436,-121.6572,ang20171006t184157-N,92.0,36.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t184157-O,131.0,23.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t184753-B,95.0,22.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75668,-121.65688,ang20171006t184753-C,95.0,22.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75556,-121.65523,ang20171006t184753-D,106.0,36.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75395,-121.65477,ang20171006t184753-E,16.0,7.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75307,-121.65464,ang20171006t184753-G,29.0,16.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75474,-121.65009,ang20171006t185335-M,44.0,18.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t185335-S,171.0,116.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75744,-121.64973,ang20171006t185335-T,177.0,39.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t185859-A,58.0,15.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75668,-121.65688,ang20171006t185859-B,58.0,15.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75556,-121.65523,ang20171006t185859-C,138.0,72.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75285,-121.65606,ang20171006t185859-D,303.0,222.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75408,-121.65636,ang20171006t185859-E,110.0,21.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75436,-121.6572,ang20171006t185859-F,197.0,36.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75304,-121.6482,ang20171006t185859-H,712.0,380.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75696,-121.65262,ang20171006t185859-I,138.0,72.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75744,-121.64973,ang20171006t185859-J,635.0,339.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75704,-121.64866,ang20171006t185859-K,635.0,339.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75448,-121.65651,ang20171006t185859-L,304.0,222.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75252,-121.65626,ang20171006t185859-M,303.0,222.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75344,-121.65533,ang20171006t185859-N,337.0,70.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75696,-121.65262,ang20171006t190448-F,73.0,33.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75744,-121.64973,ang20171006t190448-G,145.0,56.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75704,-121.64866,ang20171006t190448-H,83.0,12.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75448,-121.65651,ang20171006t190448-J,48.0,23.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t190448-K,104.0,21.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75556,-121.65523,ang20171006t190448-L,87.0,13.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75448,-121.65651,ang20171006t191011-A,100.0,32.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t191011-B,80.0,27.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75668,-121.65688,ang20171006t191011-C,80.0,27.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75556,-121.65523,ang20171006t191011-D,58.0,33.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75285,-121.65606,ang20171006t191011-E,100.0,32.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75408,-121.65636,ang20171006t191011-F,100.0,32.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75286,-121.65666,ang20171006t191011-H,100.0,32.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75252,-121.65626,ang20171006t191011-K,100.0,32.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75344,-121.65533,ang20171006t191011-L,128.0,47.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75696,-121.65262,ang20171006t191011-N,58.0,33.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.75279,-121.655627,ang20180920t180956-D,57.0,11.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.756834,-121.648462,ang20180920t180956-E,209.0,68.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.750391,-121.657948,ang20180920t182324-E,281.0,71.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.753244,-121.65473,ang20180920t183722-A,27.0,9.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.750318,-121.657252,ang20180920t183722-C,298.0,80.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.756834,-121.648462,ang20180920t183722-F,163.0,34.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.756592,-121.648265,ang20181009t215128-A,81.0,39.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.756592,-121.648265,ang20181009t215749-A,160.0,76.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.755134,-121.65895,GAO20201115t201750p0000-A,775.0,320.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.757233,-121.65948,GAO20201115t201750p0000-1,364.0,274.0
1007699,10/6/2017,1096.0,546.0,358.0,147.0,165082.0,11.0,8.0,37.751353,-121.65539,GAO20211107t193924p0000-A,552.0,171.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75285,-121.65606,ang20170618t182621-C,164.0,103.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75287,-121.65538,ang20170618t182621-D,222.0,120.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75307,-121.65464,ang20170618t182621-E,205.0,111.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75178,-121.65484,ang20170618t182621-F,328.0,48.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75684,-121.65607,ang20170618t182621-H,579.0,92.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75598,-121.65379,ang20170618t182621-I,251.0,54.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.74877,-121.65478,ang20170618t183142-A,171.0,143.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.7524,-121.65544,ang20170618t183142-B,372.0,117.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75304,-121.6482,ang20170618t183142-E,277.0,113.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75306,-121.65043,ang20170618t183142-F,277.0,113.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.7492,-121.65015,ang20170618t183142-G,45.0,25.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.74851,-121.65313,ang20170618t183142-H,50.0,28.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75598,-121.65379,ang20170620t194520-L,324.0,133.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75462,-121.65456,ang20170620t194520-N,103.0,37.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75517,-121.65536,ang20170620t194520-O,98.0,46.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75436,-121.6572,ang20171003t224906-A,77.0,35.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75359,-121.65752,ang20171003t224906-B,150.0,48.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75567,-121.65272,ang20171003t224906-C,219.0,46.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171003t224906-D,667.0,346.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75375,-121.65547,ang20171003t224906-G,219.0,46.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.7524,-121.65544,ang20171003t224906-H,219.0,46.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.74821,-121.65916,ang20171003t224906-I,154.0,24.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75517,-121.65536,ang20171006t184157-G,29.0,19.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75462,-121.65456,ang20171006t184157-H,32.0,23.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75703,-121.65263,ang20171006t184157-I,69.0,18.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75744,-121.64973,ang20171006t184157-J,127.0,26.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75704,-121.64866,ang20171006t184157-K,105.0,21.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75448,-121.65651,ang20171006t184157-M,39.0,29.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75436,-121.6572,ang20171006t184157-N,92.0,36.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t184157-O,131.0,23.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t184753-B,95.0,22.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75668,-121.65688,ang20171006t184753-C,95.0,22.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75556,-121.65523,ang20171006t184753-D,106.0,36.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75395,-121.65477,ang20171006t184753-E,16.0,7.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75307,-121.65464,ang20171006t184753-G,29.0,16.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75474,-121.65009,ang20171006t185335-M,44.0,18.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t185335-S,171.0,116.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75744,-121.64973,ang20171006t185335-T,177.0,39.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t185859-A,58.0,15.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75668,-121.65688,ang20171006t185859-B,58.0,15.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75556,-121.65523,ang20171006t185859-C,138.0,72.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75285,-121.65606,ang20171006t185859-D,303.0,222.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75408,-121.65636,ang20171006t185859-E,110.0,21.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75436,-121.6572,ang20171006t185859-F,197.0,36.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75304,-121.6482,ang20171006t185859-H,712.0,380.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75696,-121.65262,ang20171006t185859-I,138.0,72.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75744,-121.64973,ang20171006t185859-J,635.0,339.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75704,-121.64866,ang20171006t185859-K,635.0,339.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75448,-121.65651,ang20171006t185859-L,304.0,222.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75252,-121.65626,ang20171006t185859-M,303.0,222.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75344,-121.65533,ang20171006t185859-N,337.0,70.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75696,-121.65262,ang20171006t190448-F,73.0,33.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75744,-121.64973,ang20171006t190448-G,145.0,56.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75704,-121.64866,ang20171006t190448-H,83.0,12.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75448,-121.65651,ang20171006t190448-J,48.0,23.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171006t190448-K,104.0,21.0
1007699,9/20/2018,352.0,94.0,358.0,147.0,165082.0,11.0,8.0,37.75556,-121.65523,ang20171006t190448-L,87.0,13.0
